Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/2/2021 8:38,FALSE,Louisville Running,2.39,265,0:17:52,149,170,2.2,157,171,7:29,5:24,17,14,1.37,0,0,0,0,0,0:00,0,0:00,No,02:28.3,3,0,0:17:50,0:25:11,676,703
Running,10/1/2021 15:28,FALSE,Louisville Running,5.02,473,0:37:54,137,158,2.1,155,164,7:33,6:29,73,73,1.37,0,0,0,0,0,0:00,0,0:00,No,00:06.9,6,0,0:37:52,0:38:28,675,715
Running,9/30/2021 16:51,FALSE,Butler County Running,3.44,322,0:25:29,136,148,1.9,156,161,7:24,6:43,17,22,1.4,0,0,0,0,0,0:00,0,0:00,No,03:17.0,4,0,0:25:27,0:26:53,772,797
Running,9/30/2021 11:58,FALSE,Oxford Running,6.64,602,0:46:29,142,172,2.5,157,200,7:00,4:03,45,117,1.45,0,0,0,0,0,0:00,0,0:00,No,00:30.6,17,0,0:46:17,0:50:09,772,895
Running,9/29/2021 17:58,FALSE,Butler County Running,4.01,368,0:29:25,138,158,1.9,156,173,7:20,6:44,10,13,1.41,0,0,0,0,0,0:00,0,0:00,No,00:03.2,5,0,0:29:23,0:30:14,778,812
Running,9/29/2021 12:59,FALSE,Oxford Running,7.01,652,0:50:31,142,158,2.3,156,165,7:12,6:40,160,152,1.43,0,0,0,0,0,0:00,0,0:00,No,00:03.6,8,0,0:50:29,0:50:31,771,912
Running,9/28/2021 15:13,FALSE,Butler County Running,9.19,926,1:07:00,153,189,3.3,159,225,7:17,4:11,49,44,1.36,0,0,0,0,0,0:00,0,0:00,No,00:02.3,21,0,1:06:17,1:43:00,771,804
Running,9/27/2021 17:57,FALSE,Oxford Running,7.01,625,0:51:25,140,165,2.1,155,161,7:20,6:49,126,142,1.42,0,0,0,0,0,0:00,0,0:00,No,00:02.2,8,0,0:51:24,0:51:40,771,895
Running,9/26/2021 8:23,FALSE,Butler County Running,10.92,"1,132",1:24:02,152,173,2.9,156,164,7:42,5:57,208,210,1.34,0,0,0,0,0,0:00,0,0:00,No,05:41.4,11,0,1:23:59,1:35:08,772,895
Running,9/24/2021 13:47,FALSE,Butler County Running,9.22,"1,004",1:07:20,156,200,3.3,161,203,7:18,4:02,280,283,1.36,0,0,0,0,0,0:00,0,0:00,No,00:26.8,21,0,1:04:30,1:50:12,772,852
Running,9/23/2021 16:24,FALSE,Butler County Running,4.14,398,0:30:01,140,157,2.1,156,163,7:15,6:42,37,39,1.42,0,0,0,0,0,0:00,0,0:00,No,00:56.1,5,0,0:30:00,0:30:19,780,813
Running,9/23/2021 12:13,FALSE,Oxford Running,6.02,570,0:42:40,142,167,2.5,157,209,7:05,3:41,94,103,1.43,0,0,0,0,0,0:00,0,0:00,No,00:29.9,16,0,0:42:36,0:47:58,771,894
Running,9/22/2021 12:52,FALSE,Oxford Running,9.04,836,1:04:29,145,165,2.4,158,166,7:08,6:26,316,319,1.43,0,0,0,0,0,0:00,0,0:00,No,00:17.6,10,0,1:04:25,1:04:41,771,"1,013"
Running,9/21/2021 15:31,FALSE,Butler County Running,9.66,976,0:58:52,163,187,4.1,162,177,6:06,5:02,276,278,1.62,0,0,0,0,0,0:00,0,0:00,No,00:01.7,11,0,0:58:19,1:26:17,899,"1,030"
Running,9/19/2021 18:57,FALSE,Butler County Running,3.01,274,0:24:21,130,153,1.5,154,161,8:05,6:59,29,40,1.29,0,0,0,0,0,0:00,0,0:00,No,00:04.4,4,0,0:24:19,0:24:24,771,815
